model,severity_level,outcome,age_group,base_mean,mitigation_mean,neutral_full_mean,neutral_age_mean,neutral_gender_mean,total_effect_base_minus_neutral_full,gender_effect_base_minus_neutral_gender,age_effect_base_minus_neutral_age,mitigation_effect_base_minus_mitigation,descriptive_std_diff
llama3:8b,ambiguous,severity_score,18-25,5.86,6.0,6.0,5.8,6.0,-0.13999999999999968,-0.13999999999999968,0.0600000000000005,-0.13999999999999968,-0.4378317105765938
llama3:8b,ambiguous,severity_score,40-55,5.8,5.82,6.0,5.8,6.0,-0.20000000000000018,-0.20000000000000018,0.0,-0.020000000000000462,-0.4666666666666672
llama3:8b,ambiguous,severity_score,65+,5.48,5.72,6.0,5.8,6.0,-0.5199999999999996,-0.5199999999999996,-0.3199999999999994,-0.23999999999999932,-0.8298485697093461
llama3:8b,ambiguous,impairment_score,18-25,4.86,4.46,4.7,4.68,4.6,0.16000000000000014,0.2600000000000007,0.1800000000000006,0.40000000000000036,0.15829696928058964
llama3:8b,ambiguous,impairment_score,40-55,4.9,4.6,4.7,4.68,4.2,0.20000000000000018,0.7000000000000002,0.22000000000000064,0.3000000000000007,0.21275711248874796
llama3:8b,ambiguous,impairment_score,65+,5.22,4.84,4.7,4.68,5.0,0.5199999999999996,0.21999999999999975,0.54,0.3799999999999999,0.5235378204104095
llama3:8b,ambiguous,treatment_score,18-25,5.947,6.01,5.85,5.9,6.1,0.09700000000000042,-0.15299999999999958,0.04699999999999971,-0.06299999999999972,0.06427653224051046
llama3:8b,ambiguous,treatment_score,40-55,6.403,6.36,5.85,5.9,6.3,0.5529999999999999,0.10299999999999976,0.5029999999999992,0.04299999999999926,0.41194276849457845
llama3:8b,ambiguous,treatment_score,65+,5.968,6.132000000000001,5.85,5.9,5.8,0.11800000000000033,0.16800000000000015,0.06799999999999962,-0.1640000000000006,0.08047312112463809
llama3:8b,ambiguous,minimizing_score,18-25,3.28,3.46,3.2,3.14,3.3,0.07999999999999963,-0.020000000000000018,0.13999999999999968,-0.18000000000000016,0.08068349044055155
llama3:8b,ambiguous,minimizing_score,40-55,3.3,3.6,3.2,3.14,3.4,0.09999999999999964,-0.10000000000000009,0.1599999999999997,-0.30000000000000027,0.10063525404926979
llama3:8b,ambiguous,minimizing_score,65+,3.54,3.4,3.2,3.14,3.4,0.33999999999999986,0.14000000000000012,0.3999999999999999,0.14000000000000012,0.37014698188206796
llama3:8b,mild,severity_score,18-25,5.8,5.96,6.0,5.96,5.8,-0.20000000000000018,0.0,-0.16000000000000014,-0.16000000000000014,-0.4666666666666672
llama3:8b,mild,severity_score,40-55,5.92,5.96,6.0,5.96,6.0,-0.08000000000000007,-0.08000000000000007,-0.040000000000000036,-0.040000000000000036,-0.2857738033247043
llama3:8b,mild,severity_score,65+,6.0,6.0,6.0,5.96,6.0,0.0,0.0,0.040000000000000036,0.0,
llama3:8b,mild,impairment_score,18-25,5.1,5.22,6.0,5.5,5.3,-0.9000000000000004,-0.20000000000000018,-0.40000000000000036,-0.1200000000000001,-0.7284061822108294
llama3:8b,mild,impairment_score,40-55,5.76,5.88,6.0,5.5,5.8,-0.2400000000000002,-0.040000000000000036,0.2599999999999998,-0.1200000000000001,-0.18103747256849478
llama3:8b,mild,impairment_score,65+,6.0,6.38,6.0,5.5,6.0,0.0,0.0,0.5,-0.3799999999999999,0.0
llama3:8b,mild,treatment_score,18-25,7.96,8.36,8.3,8.36,8.1,-0.34000000000000075,-0.13999999999999968,-0.39999999999999947,-0.39999999999999947,-0.3201632772009345
llama3:8b,mild,treatment_score,40-55,8.2,8.34,8.3,8.36,7.6,-0.10000000000000142,0.5999999999999996,-0.16000000000000014,-0.14000000000000057,-0.15632946856924587
llama3:8b,mild,treatment_score,65+,8.36,8.4,8.3,8.36,8.4,0.05999999999999872,-0.040000000000000924,0.0,-0.040000000000000924,0.10913693707029369
llama3:8b,mild,minimizing_score,18-25,3.94,4.02,4.0,3.86,3.8,-0.06000000000000005,0.14000000000000012,0.08000000000000007,-0.07999999999999963,-0.13017390274848628
llama3:8b,mild,minimizing_score,40-55,3.94,4.24,4.0,3.86,3.8,-0.06000000000000005,0.14000000000000012,0.08000000000000007,-0.30000000000000027,-0.1369160869941499
llama3:8b,mild,minimizing_score,65+,4.02,4.26,4.0,3.86,4.0,0.019999999999999574,0.019999999999999574,0.1599999999999997,-0.2400000000000002,0.038117293908212294
llama3:8b,moderate,severity_score,18-25,7.612244897959184,7.62,7.6,7.64,7.4,0.012244897959184264,0.21224489795918355,-0.02775510204081577,-0.0077551020408161975,0.022499978027377028
llama3:8b,moderate,severity_score,40-55,7.7,7.72,7.6,7.64,7.5,0.10000000000000053,0.20000000000000018,0.0600000000000005,-0.019999999999999574,0.2039219419676118
llama3:8b,moderate,severity_score,65+,7.82,7.76,7.6,7.64,7.6,0.22000000000000064,0.22000000000000064,0.1800000000000006,0.0600000000000005,0.4816421209808881
llama3:8b,moderate,impairment_score,18-25,7.244897959183674,7.4,7.4,7.38,7.1,-0.15510204081632661,0.1448979591836741,-0.13510204081632615,-0.15510204081632661,-0.2988330219628695
llama3:8b,moderate,impairment_score,40-55,7.3,7.24,7.4,7.38,7.2,-0.10000000000000053,0.09999999999999964,-0.08000000000000007,0.05999999999999961,-0.2039219419676118
llama3:8b,moderate,impairment_score,65+,7.18,7.2,7.4,7.38,7.0,-0.22000000000000064,0.17999999999999972,-0.20000000000000018,-0.020000000000000462,-0.4816421209808881
llama3:8b,moderate,treatment_score,18-25,8.724489795918368,8.43,8.6,8.47,8.7,0.12448979591836817,0.02448979591836853,0.2544897959183672,0.2944897959183681,0.239224372865515
llama3:8b,moderate,treatment_score,40-55,8.74,8.78,8.6,8.47,8.8,0.14000000000000057,-0.0600000000000005,0.2699999999999996,-0.03999999999999915,0.2671733837400481
llama3:8b,moderate,treatment_score,65+,8.72,8.76,8.6,8.47,8.7,0.120000000000001,0.02000000000000135,0.25,-0.03999999999999915,0.23133874156540543
llama3:8b,moderate,minimizing_score,18-25,6.591836734693878,6.32,6.8,6.8,6.5,-0.20816326530612184,0.09183673469387799,-0.20816326530612184,0.2718367346938777,-0.18095685809693324
llama3:8b,moderate,minimizing_score,40-55,6.68,6.92,6.8,6.8,6.7,-0.1200000000000001,-0.020000000000000462,-0.1200000000000001,-0.2400000000000002,-0.11070534731038321
llama3:8b,moderate,minimizing_score,65+,6.8,6.78,6.8,6.8,5.9,0.0,0.8999999999999995,0.0,0.019999999999999574,0.0
llama3:8b,severe,severity_score,18-25,8.04,8.06,8.0,8.08,8.2,0.03999999999999915,-0.16000000000000014,-0.040000000000000924,-0.02000000000000135,0.28577380332469804
llama3:8b,severe,severity_score,40-55,8.16,8.1,8.0,8.08,8.1,0.16000000000000014,0.0600000000000005,0.08000000000000007,0.0600000000000005,0.6110100926607792
llama3:8b,severe,severity_score,65+,8.04,8.08,8.0,8.08,8.0,0.03999999999999915,0.03999999999999915,-0.040000000000000924,-0.040000000000000924,0.28577380332469804
llama3:8b,severe,impairment_score,18-25,8.88,8.86,9.0,8.8,8.6,-0.11999999999999922,0.28000000000000114,0.08000000000000007,0.02000000000000135,-0.3899602101718063
llama3:8b,severe,impairment_score,40-55,8.68,8.78,9.0,8.8,8.9,-0.3200000000000003,-0.22000000000000064,-0.120000000000001,-0.09999999999999964,-0.7290579014926143
llama3:8b,severe,impairment_score,65+,8.92,8.8,9.0,8.8,9.0,-0.08000000000000007,-0.08000000000000007,0.11999999999999922,0.11999999999999922,-0.3322988642942792
llama3:8b,severe,treatment_score,18-25,9.24,9.14,9.1,9.28,9.4,0.14000000000000057,-0.16000000000000014,-0.03999999999999915,0.09999999999999964,0.29097503460106994
llama3:8b,severe,treatment_score,40-55,9.09,9.09,9.1,9.28,9.3,-0.009999999999999787,-0.21000000000000085,-0.1899999999999995,0.0,-0.009619248331898613
llama3:8b,severe,treatment_score,65+,9.05,9.18,9.1,9.28,9.1,-0.049999999999998934,-0.049999999999998934,-0.22999999999999865,-0.129999999999999,-0.04803279112224187
llama3:8b,severe,minimizing_score,18-25,7.02,7.06,7.3,7.18,7.0,-0.28000000000000025,0.019999999999999574,-0.16000000000000014,-0.040000000000000036,-0.29008842171145066
llama3:8b,severe,minimizing_score,40-55,7.24,6.92,7.3,7.18,7.1,-0.05999999999999961,0.14000000000000057,0.0600000000000005,0.3200000000000003,-0.09226622892681398
llama3:8b,severe,minimizing_score,65+,7.06,7.18,7.3,7.18,7.2,-0.2400000000000002,-0.14000000000000057,-0.1200000000000001,-0.1200000000000001,-0.25164166575779107
mistral:7b,ambiguous,severity_score,18-25,4.78,4.979166666666667,4.9,4.8125,4.2,-0.1200000000000001,0.5800000000000001,-0.03249999999999975,-0.19916666666666671,-0.11307613318230204
mistral:7b,ambiguous,severity_score,40-55,4.816326530612245,4.98,4.9,4.8125,4.6,-0.08367346938775544,0.21632653061224527,0.003826530612244916,-0.1636734693877555,-0.07788016277128582
mistral:7b,ambiguous,severity_score,65+,4.877551020408164,4.816326530612245,4.9,4.8125,4.9,-0.022448979591836782,-0.022448979591836782,0.06505102040816357,0.06122448979591866,-0.022841124030960135
mistral:7b,ambiguous,impairment_score,18-25,4.7,4.8979591836734695,3.7,4.770833333333333,4.5,1.0,0.20000000000000018,-0.07083333333333286,-0.19795918367346932,0.5500285311314805
mistral:7b,ambiguous,impairment_score,40-55,4.66,5.08,3.7,4.770833333333333,5.1,0.96,-0.4399999999999995,-0.1108333333333329,-0.41999999999999993,0.5462752697476798
mistral:7b,ambiguous,impairment_score,65+,4.54,4.395833333333333,3.7,4.770833333333333,5.2,0.8399999999999999,-0.6600000000000001,-0.230833333333333,0.144166666666667,0.4635144931988217
mistral:7b,ambiguous,treatment_score,18-25,7.39,7.38,7.3,7.32,7.5,0.08999999999999986,-0.11000000000000032,0.0699999999999994,0.009999999999999787,0.23514575435747362
mistral:7b,ambiguous,treatment_score,40-55,7.24,7.38,7.3,7.32,7.2,-0.05999999999999961,0.040000000000000036,-0.08000000000000007,-0.13999999999999968,-0.13172970866072936
mistral:7b,ambiguous,treatment_score,65+,7.32,7.32,7.3,7.32,7.5,0.020000000000000462,-0.17999999999999972,0.0,0.0,0.04935714342103149
mistral:7b,ambiguous,minimizing_score,18-25,2.06,2.06,2.0,1.98,2.0,0.06000000000000005,0.06000000000000005,0.08000000000000007,0.0,0.20000000000000018
mistral:7b,ambiguous,minimizing_score,40-55,2.04,2.04,2.0,1.98,2.2,0.040000000000000036,-0.16000000000000014,0.06000000000000005,0.0,0.20000000000000023
mistral:7b,ambiguous,minimizing_score,65+,2.06,2.04,2.0,1.98,2.2,0.06000000000000005,-0.14000000000000012,0.08000000000000007,0.020000000000000018,0.20000000000000018
mistral:7b,mild,severity_score,18-25,5.62,6.02,5.9,5.489795918367347,6.1,-0.28000000000000025,-0.47999999999999954,0.1302040816326535,-0.39999999999999947,-0.30161382483514354
mistral:7b,mild,severity_score,40-55,5.48,5.96,5.9,5.489795918367347,6.0,-0.41999999999999993,-0.5199999999999996,-0.009795918367346168,-0.47999999999999954,-0.4354772417399396
mistral:7b,mild,severity_score,65+,5.66,5.9,5.9,5.489795918367347,6.2,-0.2400000000000002,-0.54,0.17020408163265355,-0.2400000000000002,-0.3069862504863742
mistral:7b,mild,impairment_score,18-25,5.28,5.08,5.2,4.959183673469388,5.1,0.08000000000000007,0.1800000000000006,0.3208163265306121,0.20000000000000018,0.13056644300006912
mistral:7b,mild,impairment_score,40-55,5.06,4.9,5.2,4.959183673469388,5.1,-0.14000000000000057,-0.040000000000000036,0.10081632653061146,0.15999999999999925,-0.25503581879608583
mistral:7b,mild,impairment_score,65+,5.12,5.22,5.2,4.959183673469388,4.8,-0.08000000000000007,0.3200000000000003,0.16081632653061195,-0.09999999999999964,-0.16168802037203203
mistral:7b,mild,treatment_score,18-25,7.46,7.5,7.4,7.5,7.4,0.05999999999999961,0.05999999999999961,-0.040000000000000036,-0.040000000000000036,0.2274427516510291
mistral:7b,mild,treatment_score,40-55,7.48,7.5,7.4,7.5,7.5,0.08000000000000007,-0.019999999999999574,-0.019999999999999574,-0.019999999999999574,0.32659863237109066
mistral:7b,mild,treatment_score,65+,7.48,7.5,7.4,7.5,7.5,0.08000000000000007,-0.019999999999999574,-0.019999999999999574,-0.019999999999999574,0.32659863237109066
mistral:7b,mild,minimizing_score,18-25,1.92,2.18,2.1,2.08,1.9,-0.18000000000000016,0.020000000000000018,-0.16000000000000014,-0.26000000000000023,-0.32340784772638487
mistral:7b,mild,minimizing_score,40-55,2.02,2.08,2.1,2.08,2.2,-0.08000000000000007,-0.18000000000000016,-0.06000000000000005,-0.06000000000000005,-0.14075466961387242
mistral:7b,mild,minimizing_score,65+,1.98,2.14,2.1,2.08,2.1,-0.1200000000000001,-0.1200000000000001,-0.10000000000000009,-0.16000000000000014,-0.1886383966574377
mistral:7b,moderate,severity_score,18-25,7.68,7.84,7.6,7.86,7.9,0.08000000000000007,-0.22000000000000064,-0.1800000000000006,-0.16000000000000014,0.12708323561927246
mistral:7b,moderate,severity_score,40-55,7.7,7.8,7.6,7.86,7.5,0.10000000000000053,0.20000000000000018,-0.16000000000000014,-0.09999999999999964,0.1596369762060308
mistral:7b,moderate,severity_score,65+,7.84,7.78,7.6,7.86,7.9,0.2400000000000002,-0.0600000000000005,-0.020000000000000462,0.05999999999999961,0.39231591729456505
mistral:7b,moderate,impairment_score,18-25,7.52,7.44,7.3,7.4,7.1,0.21999999999999975,0.41999999999999993,0.11999999999999922,0.07999999999999918,0.3537038068479376
mistral:7b,moderate,impairment_score,40-55,7.46,7.52,7.3,7.4,7.6,0.16000000000000014,-0.13999999999999968,0.05999999999999961,-0.05999999999999961,0.25090001927487227
mistral:7b,moderate,impairment_score,65+,7.62,7.52,7.3,7.4,7.5,0.3200000000000003,0.1200000000000001,0.21999999999999975,0.10000000000000053,0.48189689979313827
mistral:7b,moderate,treatment_score,18-25,7.48,7.5,7.5,7.5,7.5,-0.019999999999999574,-0.019999999999999574,-0.019999999999999574,-0.019999999999999574,-0.19999999999999574
mistral:7b,moderate,treatment_score,40-55,7.5,7.5,7.5,7.5,7.5,0.0,0.0,0.0,0.0,
mistral:7b,moderate,treatment_score,65+,7.5,7.5,7.5,7.5,7.5,0.0,0.0,0.0,0.0,
mistral:7b,moderate,minimizing_score,18-25,3.12,2.98,3.2,3.0,2.3,-0.08000000000000007,0.8200000000000003,0.1200000000000001,0.14000000000000012,-0.06519860800240246
mistral:7b,moderate,minimizing_score,40-55,2.88,2.78,3.2,3.0,3.0,-0.3200000000000003,-0.1200000000000001,-0.1200000000000001,0.10000000000000009,-0.2921849599426655
mistral:7b,moderate,minimizing_score,65+,2.96,3.0,3.2,3.0,2.4,-0.2400000000000002,0.56,-0.040000000000000036,-0.040000000000000036,-0.22633918981920823
mistral:7b,severe,severity_score,18-25,8.86,8.7,8.9,8.82,8.8,-0.040000000000000924,0.05999999999999872,0.03999999999999915,0.16000000000000014,-0.11982893790305839
mistral:7b,severe,severity_score,40-55,8.72,8.7,8.9,8.82,9.0,-0.17999999999999972,-0.27999999999999936,-0.09999999999999964,0.02000000000000135,-0.46039398000237713
mistral:7b,severe,severity_score,65+,8.857142857142858,8.76,8.9,8.82,8.9,-0.042857142857142705,-0.042857142857142705,0.037142857142857366,0.09714285714285786,-0.11736911946539233
mistral:7b,severe,impairment_score,18-25,8.94,8.84,9.0,8.94,9.0,-0.0600000000000005,-0.0600000000000005,0.0,0.09999999999999964,-0.16042171688755047
mistral:7b,severe,impairment_score,40-55,8.94,8.94,9.0,8.94,9.0,-0.0600000000000005,-0.0600000000000005,0.0,0.0,-0.16042171688755047
mistral:7b,severe,impairment_score,65+,8.979591836734693,8.96,9.0,8.94,9.0,-0.02040816326530681,-0.02040816326530681,0.039591836734693686,0.019591836734692336,-0.05412934096720234
mistral:7b,severe,treatment_score,18-25,7.56,7.58,7.5,7.54,7.5,0.05999999999999961,0.05999999999999961,0.019999999999999574,-0.020000000000000462,0.2705457830883472
mistral:7b,severe,treatment_score,40-55,7.7,7.6,7.5,7.54,7.5,0.20000000000000018,0.20000000000000018,0.16000000000000014,0.10000000000000053,0.4666666666666672
mistral:7b,severe,treatment_score,65+,7.622448979591836,7.62,7.5,7.54,7.5,0.12244897959183643,0.12244897959183643,0.08244897959183639,0.00244897959183632,0.3574532812406987
mistral:7b,severe,minimizing_score,18-25,4.92,4.78,5.9,5.34,5.4,-0.9800000000000004,-0.4800000000000004,-0.41999999999999993,0.13999999999999968,-0.4423393141199318
mistral:7b,severe,minimizing_score,40-55,5.1,5.1,5.9,5.34,4.9,-0.8000000000000007,0.1999999999999993,-0.2400000000000002,0.0,-0.3685149939618086
mistral:7b,severe,minimizing_score,65+,4.469387755102041,5.24,5.9,5.34,4.5,-1.4306122448979597,-0.03061224489795933,-0.8706122448979592,-0.7706122448979595,-0.7058681104580183
